"","ZIPCODE","NAME","LINE"
"1","20743","Capitol Heights","silver"
"2","20774","Upper Marlboro","silver"
"3","20785","Hyattsville","silver"
"4","20003","DC","silver"
"5","20019","DC","silver"
"6","20002","DC","silver"
"7","20260","DC","silver"
"8","20024","DC","silver"
"9","20410","DC","silver"
"10","20250","DC","silver"
"11","20004","DC","silver"
"12","20585","DC","silver"
"13","20006","DC","silver"
"14","20052","DC","silver"
"15","20037","DC","silver"
"16","20005","DC","silver"
"17","20007","DC","silver"
"18","20148","Ashburn","silver"
"19","20166","Sterling","silver"
"20","20147","Ashburn","silver"
"21","20041","Washington","silver"
"22","20170","Herndon","silver"
"23","20171","Herndon","silver"
"24","20190","Reston","silver"
"25","22046","Falls Church","silver"
"26","22203","Arlington","silver"
"27","22205","Arlington","silver"
"28","22201","Arlington","silver"
"29","22043","Falls Church","silver"
"30","22102","Mc Lean","silver"
"31","22182","Vienna","silver"
"32","22213","Arlington","silver"
"33","22209","Arlington","silver"
